Full Name,Occupation,Key Roles,Notable Work
A. P. J. Abdul Kalam,"Aerospace Scientist, 11th President of India","Missile Man of India, President of India",Development of India's missile and nuclear programs
Abhinav Bindra,Olympic Shooter,First Indian to win individual Olympic gold,Gold medal in 10m air rifle at the 2008 Olympics
Adi Shankara,"Philosopher, Theologian","Philosopher, Spiritual Leader",Consolidation of Advaita Vedanta
Amrita Sher-Gil,Painter,One of the most important modern Indian painters,Works combining Indian and European styles
Anandamayi Ma,Spiritual Teacher,"Spiritual Guru, Mystic",Teachings on self-realization and devotion
Ardeshir Godrej,Industrialist,"Entrepreneur, Industrial Pioneer",Founder of Godrej Group
Atal Bihari Vajpayee,"Politician, Prime Minister of India","Prime Minister of India, Poet","Prime Minister of India, Pokhran-II nuclear tests"
Azim Premji,"Businessman, Philanthropist","IT Industry Leader, Philanthropist","Chairman of Wipro, Philanthropy through Azim Premji Foundation"
B. R. Ambedkar,"Jurist, Social Reformer","Architect of Indian Constitution, Social Reformer",Drafting the Indian Constitution
Bal Gangadhar Tilak,"Freedom Fighter, Teacher","Father of Indian Unrest, Freedom Fighter",Swaraj (self-rule) advocacy
Bankim Chandra Chattopadhyay,"Novelist, Poet",Pioneer of modern Bengali literature,Author of 'Vande Mataram'
Basavanna,"Philosopher, Statesman",Revolutionary Social Reformer,Founding the Lingayat sect
Behramji Malabari,"Journalist, Social Reformer",Advocate for women's rights,Campaign against child marriage
Bhagat Singh,Freedom Fighter,Revolutionary Martyr,Participation in the Lahore conspiracy case and his execution
Bipin Chandra Pal,"Freedom Fighter, Journalist",Lal-Bal-Pal trio in Indian Independence,Advocacy for Swadeshi and Swaraj
Brijmohan Lall Munjal,Industrialist,Founder of Hero Group,Expansion of Hero Cycles into a global brand
C. V. Raman,Physicist,Nobel Laureate in Physics,Raman Effect in Physics
Chandra Shekhar Azad,Freedom Fighter,Leader of Hindustan Socialist Republican Association,Azad's martyrdom in revolutionary movement
Charan Singh,Politician,Prime Minister of India,Champion of Indian farmers' rights
